Title,Count
"ADB P.DG A4001N WAP, Cisco Telepresence MCU 4505, or Digifort Enterprise 6.5 httpd",57
Dahua-based DHI-NVR4104HS-P-4KS2/L,56
DrayTek Vigor2766 Series,56
Memcached,56
SonicWALL SSL-VPN http proxy,55
vsftpd,55
Honeywell DVR,54
mt-daapd DAAP,54
uhttpd,54
CP,53
Dahua DHI-NVR5432-16P-4KS2E,53
Dahua-based Network recorder,53
GNU Inetutils FTPd,53
MS-SQL Server 2019 CU15,53
Dahua DHI-NVR4104-P-4KS2,52
DrayTek Vigor2952 Series,52
IP Camera,52
MS-SQL Server 2017 CU19,52
QNAP TS-251+ TS-251+,52
Siemens Gigaset DX800A VoIP phone SIP,52
Surgemail smtpd,52
ASUS Wireless Router ZenWiFi XD6,50
Dell Inc.,50
QNAP TS-469L TS-469L,50
Unrecognized SMTP service,50
Conan Exiles,49
Dahua DHI-NVR5208-8P-4KS2E,49
MS-SQL Server 2008 R2 SP2,49
DrayTek Vigor 2820n ADSL router sshd,48
JAGeX Java gaming httpd,48
MS-SQL Server 2016 SP1,48
QNAP TS-412 TS-412,48
ASUS Wireless Router RT-AC67U,47
Dovecot pop3d,47
DrayTek Vigor2832 Series,47
Dahua VTO2000A,46
MS-SQL Server 2014 SP3CU4,46
vIPtela Inc.,46
Asterisk Call Manager,45
MACH-ProWebSys,45
MS-SQL Server 2016 SP3,45
QNAP TS-251+,45
Dahua D44_NVR8PRO7,44
Dahua-based DHI-NVR5216-16P-4KS2E,44
Red Lion Controls,44
Salt,44
ejabberd,44
ClamAV,43
Counter-Strike: Global Offensive,43
Dahua DHI-NVR608-32-4KS2,43
GreasySpoon,43
Gunicorn,43
QNAP TS-469L,43
Subversion,43
TwistedWeb,43
CoreFTP sshd,42
MDaemon smtpd,42
MS-SQL Server 2014 RTM+,42
MS-SQL Server 2016 SP1+,42
MoxaHttp,42
Asterisk PBX,41
Gaspot,41
Dahua DHI-NVR4432-16P-4KS2,40
Dahua DHI-XVR5216AN-4KL,40
MS-SQL Server 2008 R2 RTM,40
QNAP TS-412,40
CP1L-EM30DR-D,39
Dahua 4CHPOENVR1TBHDD1,39
IronPort AsyncOS http config,39
Resin Web Server,39
ASUS Wireless Router RT-AX89X,38
Dahua DH-XVR5216AN-4KL-X,38
Dovecot imapd,38
Geth,38
InterNiche Technologies WebServer,38
QNAP TS-212P TS-212P,38
QNAP TS-469 Pro TS-469 Pro,38
Linksys wireless-G WAP http config,37
OpenFlow,37
QNAP TS-431 TS-431,37
3Proxy http proxy,36
ASUS Wireless Router ZenWiFi Pro XT12,36
AskoziaPBX,36
Dahua DHI-NVR2108HS-8P-4KS2,36
Dahua IP Camera,36
MS-SQL Server 2016 SP2+,36
QNAP TS-451+,36
Rumpus httpd,36
Dahua 8CHPOENVR2TBHDD1,35
Docker Registry HTTP API,35
HP Integrated Lights-Out mpSSH,35
MS-SQL Server 2017 CU28+,35
QNAP TS-451+ TS-451+,35
AVM FRITZ!Box Fon WLAN 7390 SIP,34
MS-SQL Server 2012 SP4+,34
MS-SQL Server 2016 SP2,34
Philips Hue Bridge v2 (BSB002),34
CouchDB,33
D-Link DCS-2630L,33
QNAP TS-420 TS-420,33
QNAP TS-453A TS-453A,33
Surgemail webmail,33
nPerf,33
ASUS Wireless Router RT-AC66U,32
Balance Servers TCAdmin game hosting ftpd,32
Dahua DHI-NVR5416-16P-4KS2,32
Dahua DHI-XVR5108HS-4KL,32
Dahua-based DHI-NVR5208-8P-4KS2E,32
Dahua-based NVR,32
DrayTek Vigor3220 Series,32
MS-SQL Server 2016 RTM+,32
"NetScreen Technologies, Inc.",32
RealVNC,32
Zope httpd,32
FortiGate Endpoint Control httpd,31
MS-SQL Server 2016 RTM,31
Pacom Systems Pty Ltd,31
RealVNC Personal,31
Citadel smtpd,30
Dahua DHI-NVR5432-16P-4KS2,30
Hewlett-Packard,30
MS-SQL Server 2014 SP2,30
Moxa Nport,30
Apache ActiveMQ,29
Haproxy http proxy,29
MS-SQL Server 2008 R2 SP2+,29
MS-SQL Server 2019 CU12,29
Netgear,29
QNAP TS-228 TS-228,29
QNAP TS-231 TS-231,29
Unreal Test!,29
Windows Media Connect Compatible (),29
DrayTek Vigor2915 Series,28
QNAP TS-212P,28
QNAP TS-469 Pro,28
RapidLogic httpd,28
VanDyke VShell,28
Dahua VTO2000A-2,27
DrayTek VigorBX 2000,27
MC,27
MS-SQL Server 2017 CU22,27
Oracle Application Server 10g httpd,27
QNAP TS-269 Pro TS-269 Pro,27
QNAP TS-420,27
Swann DVR8-2600 security camera system httpd,27
Thin,27
Dahua C87_NVR16PRO7,26
Dahua DHI-HCVR7216AN-4M,26
Juniper Network Connect 8.0 (Pulse Secure),26
MS-SQL Server 2014 SP2+,26
QNAP TS-431,26
Sun ONE Web Server,26
pysnmp,26
DM-TXRX-100-ST,25
Dahua DHI-NVR5416-16P-4KS2E,25
DirectAdmin,25
EchoLink radio-over-VoIP,25
FRITZ!Box Fon WLAN 7390 WAP ftpd,25
IBM WebSphere Application Server,25
MS-SQL Server 2014,25
QNAP TS-228A TS-228A,25
SNMP Research,25
TwonkyMedia UPnP,25
VMware vCenter Server,25
ASUS Wireless Router RT-AC1900P,24
Dahua DHI-NVR2104HS-P-4KS2,24
Dahua DHI-NVR4108-8P-4KS2/L,24
GoAhead-Webs embedded httpd,24
Mongrel httpd,24
Oracle iPlanet Web Server,24
QNAP TS-228,24
QNAP TS-421 TS-421,24
QNAP TS-453A,24
SAProuter,24
Space Engineers,24
Dahua DHI-HCVR5108HS-S3,23
Dahua DHI-NVR5208-8P-4KS2(V2.00),23
FPBX-15.0.17.34(16.13.0),23
MS-SQL Server 2014 SP1,23
MS-SQL Server 2016 SP3+,23
QNAP TS-220 TS-220,23
QNAP TS-231,23
V1210,23
ASUS Wireless Router BLUE CAVE,22
Dahua DH-XVR5108H-4KL-X,22
Dahua DHI-NVR4108HS-P-4KS2,22
HttpFileServer httpd,22
LG webOS TV,22
V700-T20BJ,22
ALT-N SecurityGateway smtpd,21
D-Link DCS-5222L,21
Dahua C34_NVR8COM2,21
Dahua DHI-NVR4232-16P-4KS2,21
Dahua DHI-NVR608-64-4KS2,21
Dahua IPC-HDW4631C-A,21
Fnord httpd,21
"Force10 Networks, Inc.",21
IBM HTTP Server,21
Ncat http proxy,21
QNAP TS-419P II TS-419P II,21
TA400 41.19.0.32,21
Unreal ircd,21
Veritas Backup Exec ndmp,21
ASUS Wireless Router BRT-AC828,20
Agranat-EmWeb,20
Binc imapd,20
D-Link DCS-825L,20
D-Link DLS-2750U ftp firmward update,20
Dahua DHI-NVR4104-P-4KS2/L,20
IceWarp smtpd,20
MS-SQL Server 2008 R2 SP1,20
MS-SQL Server 2022 CTP1.0+,20
Oracle XML DB Enterprise Edition httpd,20
QNAP TS-221,20
iPECS-LIK vF.1Dq,20
ASUS Wireless Router RT-AC3100,19
Aruba Networks Inc,19
Dahua DH-XVR5104H-4KL-X,19
Dahua DH-XVR5108HS-4KL-X,19
Dahua DH-XVR7216A-4KL-X,19
Dahua DHI-NVR4204-P-4KS2,19
Dahua Network recorder,19
Dahua-based DHI-NVR4208-8P-4KS2/L,19
HBase,19
Lantronix,19
Netscape Enterprise httpd,19
QNAP TS-228A,19
QNAP TS-251A,19
QNAP TS-419P II,19
Xlight ftpd,19
libssh,19
ASUS Wireless Router RT-N66U,18
MS-SQL Server 2008 R2 SP3+,18
Oracle GlassFish,18
Oracle HTTP Server Powered by Apache,18
QNAP TS-451,18
TANDBERG/4144 (X12.7.1),18
Tinyweb httpd,18
V570-57-T20 / V290-19-T20,18
cloudflare-nginx,18
Counter-Strike: Source,17
Dahua D46_NVR8PRO7-4T,17
Dahua DHI-HCVR7208AN-4M,17
Dahua-based DHI-NVR4216-16P-4KS2/L,17
Google httpd,17
MS-SQL Server 2012 SP1+,17
MS-SQL Server 2012 SP4,17
MS-SQL Server 2014 SP1+,17
